Time,Open,High,Low,Close,intv,intoi,v,oi
2024-02-23 09:15:00,492.65,501.85,454.6,466.95,487470,2382750,487470,2382750
2024-02-23 09:16:00,467.0,470.3,460.85,464.4,313545,0,801015,2382750
2024-02-23 09:17:00,464.5,468.85,460.95,466.95,239685,0,1040700,2382750
2024-02-23 09:18:00,467.6,471.8,463.65,469.3,278280,209415,1318980,2592165
2024-02-23 09:19:00,468.1,484.5,468.1,476.3,390360,0,1709340,2592165
2024-02-23 09:20:00,477.25,499.9,469.3,496.7,536760,0,2246100,2592165
2024-02-23 09:21:00,496.3,506.85,495.25,502.15,476190,147465,2722290,2739630
2024-02-23 09:22:00,505.0,527.25,501.55,524.2,526530,0,3248820,2739630
2024-02-23 09:23:00,525.0,535.7,514.35,525.2,502305,0,3751125,2739630
2024-02-23 09:24:00,526.95,528.35,519.15,523.95,319665,-47490,4070790,2692140
2024-02-23 09:25:00,521.75,541.55,510.3,534.55,377865,0,4448655,2692140
2024-02-23 09:26:00,537.0,549.2,531.55,539.45,563280,0,5011935,2692140
2024-02-23 09:27:00,540.3,540.3,501.35,518.7,435465,30750,5447400,2722890
2024-02-23 09:28:00,518.35,530.65,515.3,520.4,244395,0,5691795,2722890
2024-02-23 09:29:00,522.0,522.25,510.65,510.65,165825,0,5857620,2722890
2024-02-23 09:30:00,511.65,517.3,488.65,514.45,406530,115830,6264150,2838720
2024-02-23 09:31:00,512.55,525.4,500.75,504.6,298635,0,6562785,2838720
2024-02-23 09:32:00,504.0,508.7,498.7,500.0,191430,0,6754215,2838720
2024-02-23 09:33:00,497.8,498.25,475.7,484.3,342990,69030,7097205,2907750
2024-02-23 09:34:00,487.05,500.8,481.45,498.5,203235,0,7300440,2907750
2024-02-23 09:35:00,498.7,503.0,490.65,496.45,165435,0,7465875,2907750
2024-02-23 09:36:00,495.9,507.0,494.7,503.15,146430,47775,7612305,2955525
2024-02-23 09:37:00,502.2,527.3,501.8,519.95,270975,0,7883280,2955525
2024-02-23 09:38:00,519.05,558.05,516.75,557.7,563265,0,8446545,2955525
2024-02-23 09:39:00,550.0,567.0,539.7,549.65,628590,-42465,9075135,2913060
2024-02-23 09:40:00,551.75,565.95,544.5,553.2,373365,0,9448500,2913060
2024-02-23 09:41:00,552.4,579.55,544.3,579.45,422745,0,9871245,2913060
2024-02-23 09:42:00,578.15,578.15,560.25,571.0,384120,-86865,10255365,2826195
2024-02-23 09:43:00,570.95,583.45,570.0,581.5,299040,0,10554405,2826195
2024-02-23 09:44:00,582.55,588.1,560.0,565.35,363885,0,10918290,2826195
2024-02-23 09:45:00,564.3,572.35,547.8,572.15,281685,-99960,11199975,2726235
2024-02-23 09:46:00,572.75,599.1,568.45,590.0,425625,0,11625600,2726235
2024-02-23 09:47:00,591.75,595.85,575.65,580.0,192855,0,11818455,2726235
2024-02-23 09:48:00,577.8,592.8,577.35,581.9,134775,-43365,11953230,2682870
2024-02-23 09:49:00,581.6,587.0,561.5,568.6,187005,0,12140235,2682870
2024-02-23 09:50:00,571.0,575.0,564.6,573.5,107955,0,12248190,2682870
2024-02-23 09:51:00,573.6,597.8,568.1,582.0,175995,-45300,12424185,2637570
2024-02-23 09:52:00,582.45,586.8,564.75,568.65,141165,0,12565350,2637570
2024-02-23 09:53:00,567.3,574.0,556.3,561.85,163260,0,12728610,2637570
2024-02-23 09:54:00,561.1,582.45,557.4,578.65,148230,-26220,12876840,2611350
2024-02-23 09:55:00,580.8,586.3,563.1,573.8,112575,0,12989415,2611350
2024-02-23 09:56:00,573.0,585.0,572.35,572.9,80715,0,13070130,2611350
2024-02-23 09:57:00,572.45,574.9,558.0,570.75,97695,-2610,13167825,2608740
2024-02-23 09:58:00,569.7,578.0,562.05,577.35,73110,0,13240935,2608740
2024-02-23 09:59:00,575.0,593.65,574.05,591.4,211080,0,13452015,2608740
2024-02-23 10:00:00,588.75,606.25,575.3,595.3,310515,-34215,13762530,2574525
2024-02-23 10:01:00,591.95,599.0,569.45,574.35,197910,0,13960440,2574525
2024-02-23 10:02:00,576.8,583.45,564.2,577.2,119505,0,14079945,2574525
2024-02-23 10:03:00,577.05,585.2,569.45,573.5,88290,-21300,14168235,2553225
2024-02-23 10:04:00,572.75,582.75,572.75,580.2,69255,0,14237490,2553225
2024-02-23 10:05:00,580.7,582.2,567.95,579.75,85830,0,14323320,2553225
2024-02-23 10:06:00,578.05,578.45,564.65,571.8,78825,10410,14402145,2563635
2024-02-23 10:07:00,575.05,588.0,571.35,586.2,110340,0,14512485,2563635
2024-02-23 10:08:00,585.05,591.6,573.5,582.0,89565,0,14602050,2563635
2024-02-23 10:09:00,582.95,600.0,579.3,580.9,127245,-36825,14729295,2526810
2024-02-23 10:10:00,584.05,592.65,582.25,584.85,89250,0,14818545,2526810
2024-02-23 10:11:00,583.75,603.2,578.85,585.0,139440,0,14957985,2526810
2024-02-23 10:12:00,585.25,591.45,581.35,584.4,55890,-8025,15013875,2518785
2024-02-23 10:13:00,584.7,617.7,583.0,605.95,316890,0,15330765,2518785
2024-02-23 10:14:00,607.55,628.5,599.7,628.35,254820,0,15585585,2518785
2024-02-23 10:15:00,625.8,652.35,625.0,643.95,526605,-92235,16112190,2426550
2024-02-23 10:16:00,644.5,649.1,631.0,644.4,242865,0,16355055,2426550
2024-02-23 10:17:00,644.6,659.0,642.8,650.95,189825,0,16544880,2426550
2024-02-23 10:18:00,654.85,666.0,651.0,651.0,189360,-61110,16734240,2365440
2024-02-23 10:19:00,648.0,658.6,646.25,650.25,116955,0,16851195,2365440
2024-02-23 10:20:00,651.5,672.4,650.5,659.25,145440,0,16996635,2365440
