Time,Open,High,Low,Close,intv,intoi,v,oi
2024-02-23 09:15:00,256.4,293.4,256.4,283.6,72270,708465,72270,708465
2024-02-23 09:16:00,283.35,294.45,283.35,293.15,49890,0,122160,708465
2024-02-23 09:17:00,292.95,304.15,292.95,301.0,54240,0,176400,708465
2024-02-23 09:18:00,300.9,302.7,288.05,288.05,61560,54135,237960,762600
2024-02-23 09:19:00,288.8,288.8,276.8,282.15,61890,0,299850,762600
2024-02-23 09:20:00,283.95,285.55,265.2,268.1,72690,0,372540,762600
2024-02-23 09:21:00,268.5,269.35,261.0,266.6,55095,51450,427635,814050
2024-02-23 09:22:00,264.15,264.15,250.4,253.5,107520,0,535155,814050
2024-02-23 09:23:00,254.0,257.95,251.05,257.0,74085,0,609240,814050
2024-02-23 09:24:00,257.5,264.25,256.0,259.1,60345,30180,669585,844230
2024-02-23 09:25:00,260.55,267.95,254.95,258.55,50130,0,719715,844230
2024-02-23 09:26:00,257.9,258.3,250.05,256.5,88125,0,807840,844230
2024-02-23 09:27:00,256.4,271.6,255.8,265.2,56925,19050,864765,863280
2024-02-23 09:28:00,265.6,267.85,259.25,262.5,30210,0,894975,863280
2024-02-23 09:29:00,262.85,266.7,262.1,265.65,30705,0,925680,863280
2024-02-23 09:30:00,264.5,278.7,264.5,267.7,68865,2130,994545,865410
2024-02-23 09:31:00,268.15,276.0,260.2,273.35,41430,0,1035975,865410
2024-02-23 09:32:00,273.45,279.7,272.75,276.55,46575,0,1082550,865410
2024-02-23 09:33:00,278.4,291.2,278.4,287.7,78855,165,1161405,865575
2024-02-23 09:34:00,284.65,291.2,276.35,276.65,59445,0,1220850,865575
2024-02-23 09:35:00,276.35,286.8,275.7,284.9,44055,0,1264905,865575
2024-02-23 09:36:00,285.0,285.65,278.35,279.4,24645,90,1289550,865665
2024-02-23 09:37:00,280.1,280.2,260.0,265.5,59280,0,1348830,865665
2024-02-23 09:38:00,267.65,267.7,235.7,235.7,97050,0,1445880,865665
2024-02-23 09:39:00,237.65,242.7,227.15,232.65,83250,-6480,1529130,859185
2024-02-23 09:40:00,232.4,237.35,228.15,235.45,71025,0,1600155,859185
2024-02-23 09:41:00,234.75,239.75,220.65,221.9,67515,0,1667670,859185
2024-02-23 09:42:00,223.1,229.5,222.65,226.0,66675,2310,1734345,861495
2024-02-23 09:43:00,225.55,226.4,217.5,217.7,79170,0,1813515,861495
2024-02-23 09:44:00,216.4,224.5,214.75,223.45,59310,0,1872825,861495
2024-02-23 09:45:00,223.55,231.65,223.35,224.35,45720,-20220,1918545,841275
2024-02-23 09:46:00,224.75,224.9,211.15,215.2,56595,0,1975140,841275
2024-02-23 09:47:00,214.9,220.6,212.95,218.25,58020,0,2033160,841275
2024-02-23 09:48:00,218.5,220.3,213.9,219.55,26700,8205,2059860,849480
2024-02-23 09:49:00,219.25,226.8,217.0,225.5,36465,0,2096325,849480
2024-02-23 09:50:00,224.25,226.8,222.35,224.2,22935,0,2119260,849480
2024-02-23 09:51:00,223.25,225.9,213.7,219.5,32745,2025,2152005,851505
2024-02-23 09:52:00,220.5,229.4,219.75,228.55,33345,0,2185350,851505
2024-02-23 09:53:00,228.4,234.55,224.55,231.85,45285,0,2230635,851505
