Time,Open,High,Low,Close,intv,intoi,v,oi
2024-02-23 09:15:00,430.0,448.55,408.15,417.8,209955,603330,209955,603330
2024-02-23 09:16:00,418.6,420.65,413.1,414.8,114855,0,324810,603330
2024-02-23 09:17:00,414.45,420.0,412.5,417.0,92895,0,417705,603330
2024-02-23 09:18:00,417.45,421.65,414.3,419.5,103845,101175,521550,704505
2024-02-23 09:19:00,417.9,433.0,417.55,425.7,175635,0,697185,704505
2024-02-23 09:20:00,424.95,447.85,421.0,444.95,216675,0,913860,704505
2024-02-23 09:21:00,444.55,453.7,443.0,449.75,242895,42825,1156755,747330
2024-02-23 09:22:00,452.3,474.1,451.1,472.05,315120,0,1471875,747330
2024-02-23 09:23:00,471.95,482.3,461.3,472.4,303870,0,1775745,747330
2024-02-23 09:24:00,473.6,474.35,465.6,470.55,178740,93600,1954485,840930
2024-02-23 09:25:00,468.25,484.85,458.65,480.55,303870,0,2258355,840930
2024-02-23 09:26:00,479.95,494.95,478.1,484.85,441525,0,2699880,840930
2024-02-23 09:27:00,485.0,485.3,449.5,465.7,291810,75900,2991690,916830
2024-02-23 09:28:00,466.2,477.55,462.4,468.8,150870,0,3142560,916830
2024-02-23 09:29:00,470.15,470.15,458.25,458.25,113745,0,3256305,916830
2024-02-23 09:30:00,458.4,464.55,438.55,461.3,234330,33210,3490635,950040
2024-02-23 09:31:00,461.65,472.1,448.8,453.4,190620,0,3681255,950040
2024-02-23 09:32:00,452.65,456.45,446.0,449.1,103380,0,3784635,950040
2024-02-23 09:33:00,447.4,447.65,426.7,435.15,173835,32250,3958470,982290
2024-02-23 09:34:00,435.85,449.35,431.0,448.6,78750,0,4037220,982290
2024-02-23 09:35:00,448.05,450.55,440.3,444.75,90750,0,4127970,982290
2024-02-23 09:36:00,444.55,455.3,443.5,451.4,75825,20355,4203795,1002645
2024-02-23 09:37:00,451.85,474.6,449.45,467.4,129240,0,4333035,1002645
2024-02-23 09:38:00,466.55,503.1,464.2,501.4,379125,0,4712160,1002645
2024-02-23 09:39:00,496.35,510.95,485.95,494.75,411480,28080,5123640,1030725
2024-02-23 09:40:00,495.0,512.2,490.4,499.8,289470,0,5413110,1030725
2024-02-23 09:41:00,498.6,523.6,490.15,522.1,321345,0,5734455,1030725
2024-02-23 09:42:00,520.65,520.65,504.55,514.35,260835,44400,5995290,1075125
2024-02-23 09:43:00,514.95,526.8,514.7,525.3,212940,0,6208230,1075125
2024-02-23 09:44:00,524.8,533.0,506.15,509.2,312390,0,6520620,1075125
