Time,Open,High,Low,Close,intv,intoi,v,oi
2024-02-23 09:15:00,501.25,566.8,501.25,551.75,86355,187650,86355,187650
2024-02-23 09:16:00,550.95,566.1,550.05,563.7,52035,0,138390,187650
2024-02-23 09:17:00,562.3,575.45,562.3,571.95,31470,0,169860,187650
2024-02-23 09:18:00,572.5,573.9,553.45,554.45,20520,29550,190380,217200
2024-02-23 09:19:00,555.1,555.1,535.25,543.95,32010,0,222390,217200
2024-02-23 09:20:00,545.6,550.4,516.3,521.45,47025,0,269415,217200
2024-02-23 09:21:00,520.35,524.0,509.3,518.6,50880,31800,320295,249000
2024-02-23 09:22:00,514.35,516.8,492.7,496.45,57630,0,377925,249000
2024-02-23 09:23:00,497.6,506.15,492.25,499.45,63360,0,441285,249000
2024-02-23 09:24:00,501.55,511.4,499.8,504.7,78255,58035,519540,307035
2024-02-23 09:25:00,506.75,518.75,497.05,501.7,69930,0,589470,307035
2024-02-23 09:26:00,500.8,502.65,488.55,498.65,73500,0,662970,307035
2024-02-23 09:27:00,498.75,526.8,497.75,514.25,72840,48720,735810,355755
2024-02-23 09:28:00,515.05,519.55,505.0,510.8,42330,0,778140,355755
2024-02-23 09:29:00,512.05,518.0,510.6,516.8,39405,0,817545,355755
2024-02-23 09:30:00,514.45,539.6,514.45,518.4,111990,19980,929535,375735
2024-02-23 09:31:00,519.75,533.7,507.1,529.8,58995,0,988530,375735
2024-02-23 09:32:00,529.5,538.5,528.95,534.0,65910,0,1054440,375735
2024-02-23 09:33:00,537.0,556.2,536.25,549.55,87600,9915,1142040,385650
2024-02-23 09:34:00,546.7,554.2,531.05,532.95,46095,0,1188135,385650
2024-02-23 09:35:00,534.3,545.85,532.2,543.9,29940,0,1218075,385650
2024-02-23 09:36:00,545.95,545.95,534.0,536.15,22020,3870,1240095,389520
2024-02-23 09:37:00,535.4,537.45,505.45,515.2,42675,0,1282770,389520
2024-02-23 09:38:00,517.6,518.15,468.7,469.2,98355,0,1381125,389520
2024-02-23 09:39:00,471.4,481.0,456.0,465.95,113490,19410,1494615,408930
2024-02-23 09:40:00,466.9,475.1,456.9,469.4,79980,0,1574595,408930
2024-02-23 09:41:00,469.5,476.85,445.55,447.55,91515,0,1666110,408930
2024-02-23 09:42:00,449.35,460.55,448.9,452.8,69360,35790,1735470,444720
2024-02-23 09:43:00,454.15,454.4,440.9,441.4,62955,0,1798425,444720
2024-02-23 09:44:00,440.8,453.25,435.7,451.75,87420,0,1885845,444720
2024-02-23 09:45:00,451.85,464.85,450.65,452.0,96630,25470,1982475,470190
2024-02-23 09:46:00,451.7,452.9,428.6,434.7,108750,0,2091225,470190
2024-02-23 09:47:00,433.9,443.75,431.1,440.25,65580,0,2156805,470190
2024-02-23 09:48:00,441.6,443.0,432.1,442.25,52005,49725,2208810,519915
2024-02-23 09:49:00,441.85,456.0,437.45,453.05,74115,0,2282925,519915
