Time,Open,High,Low,Close,intv,intoi,v,oi
2024-02-23 09:15:00,49.6,54.0,49.0,51.05,30345,227220,30345,227220
2024-02-23 09:16:00,51.35,54.0,51.35,53.3,36630,0,66975,227220
2024-02-23 09:17:00,53.5,57.45,53.5,56.45,31980,0,98955,227220
2024-02-23 09:18:00,56.35,57.0,52.9,52.95,34215,21795,133170,249015
2024-02-23 09:19:00,53.0,53.1,50.75,51.6,22035,0,155205,249015
2024-02-23 09:20:00,51.3,52.25,49.15,49.75,25920,0,181125,249015
2024-02-23 09:21:00,50.2,50.2,48.0,48.65,21885,8280,203010,257295
2024-02-23 09:22:00,48.4,48.75,46.0,46.15,28995,0,232005,257295
2024-02-23 09:23:00,46.25,47.5,45.85,47.5,15180,0,247185,257295
2024-02-23 09:24:00,47.4,49.4,46.7,47.6,14685,11715,261870,269010
2024-02-23 09:25:00,47.9,49.35,46.9,47.3,12540,0,274410,269010
2024-02-23 09:26:00,47.05,47.5,45.55,46.75,15450,0,289860,269010
2024-02-23 09:27:00,47.0,49.25,46.65,48.35,22275,-1125,312135,267885
2024-02-23 09:28:00,48.3,48.9,47.0,47.7,5820,0,317955,267885
2024-02-23 09:29:00,47.75,48.3,47.25,48.05,22230,0,340185,267885
2024-02-23 09:30:00,48.15,50.5,48.05,48.95,14505,5610,354690,273495
2024-02-23 09:31:00,48.75,49.8,47.35,49.5,43395,0,398085,273495
2024-02-23 09:32:00,49.6,50.95,49.4,50.65,9825,0,407910,273495
2024-02-23 09:33:00,51.25,53.8,51.0,53.55,24240,28890,432150,302385
2024-02-23 09:34:00,53.25,54.25,51.15,51.25,12660,0,444810,302385
2024-02-23 09:35:00,51.4,53.65,51.2,53.65,20385,0,465195,302385
2024-02-23 09:36:00,53.85,54.0,51.85,52.15,15060,2850,480255,305235
2024-02-23 09:37:00,52.2,52.3,47.7,48.9,15915,0,496170,305235
2024-02-23 09:38:00,49.1,49.6,42.4,42.4,23640,0,519810,305235
2024-02-23 09:39:00,42.55,43.45,40.3,41.55,26280,-135,546090,305100
2024-02-23 09:40:00,41.45,42.2,40.65,41.7,23010,0,569100,305100
2024-02-23 09:41:00,41.8,43.2,39.75,40.0,25395,0,594495,305100
2024-02-23 09:42:00,40.15,41.0,39.65,40.3,15000,-4110,609495,300990
2024-02-23 09:43:00,40.05,40.5,38.6,38.6,37380,0,646875,300990
2024-02-23 09:44:00,38.9,39.9,38.3,39.65,31560,0,678435,300990
2024-02-23 09:45:00,39.7,41.35,39.7,40.6,19305,-8355,697740,292635
2024-02-23 09:46:00,40.75,40.85,38.1,38.9,19065,0,716805,292635
2024-02-23 09:47:00,38.65,39.7,38.35,39.2,8610,0,725415,292635
2024-02-23 09:48:00,39.35,39.95,38.6,39.75,5655,-7440,731070,285195
2024-02-23 09:49:00,39.85,40.9,39.25,40.6,5670,0,736740,285195
2024-02-23 09:50:00,40.3,40.8,40.0,40.2,7770,0,744510,285195
2024-02-23 09:51:00,40.05,40.45,38.5,39.45,4650,135,749160,285330
2024-02-23 09:52:00,39.55,40.95,39.55,40.85,3825,0,752985,285330
2024-02-23 09:53:00,40.75,41.95,40.05,41.05,10485,0,763470,285330
2024-02-23 09:54:00,41.5,41.85,39.95,40.15,3870,840,767340,286170
2024-02-23 09:55:00,40.0,41.4,39.2,40.85,5655,0,772995,286170
2024-02-23 09:56:00,40.25,40.75,39.6,40.6,4800,0,777795,286170
2024-02-23 09:57:00,40.65,41.7,40.5,40.75,5490,-2085,783285,284085
2024-02-23 09:58:00,40.8,41.9,40.55,40.85,11385,0,794670,284085
2024-02-23 09:59:00,41.0,41.1,38.85,39.3,7950,0,802620,284085
2024-02-23 10:00:00,39.1,39.9,37.45,37.85,13020,-2760,815640,281325
2024-02-23 10:01:00,37.9,40.35,37.85,40.25,9525,0,825165,281325
2024-02-23 10:02:00,39.85,40.8,39.05,39.75,6795,0,831960,281325
2024-02-23 10:03:00,39.85,40.45,38.9,40.3,27390,-5235,859350,276090
2024-02-23 10:04:00,40.0,40.35,38.9,39.05,10830,0,870180,276090
