Time,Open,High,Low,Close,intv,intoi,v,oi
2024-02-23 09:15:00,127.05,127.05,103.8,116.15,58005,205470,58005,205470
2024-02-23 09:16:00,116.9,121.6,116.45,121.0,45435,0,103440,205470
2024-02-23 09:17:00,121.3,128.3,121.3,126.3,31485,0,134925,205470
2024-02-23 09:18:00,126.1,126.85,119.55,119.9,49005,26685,183930,232155
2024-02-23 09:19:00,119.45,119.45,114.55,116.25,44640,0,228570,232155
2024-02-23 09:20:00,115.9,117.35,109.3,110.9,34200,0,262770,232155
2024-02-23 09:21:00,111.45,111.45,107.25,109.05,24630,10230,287400,242385
2024-02-23 09:22:00,108.7,109.0,102.3,103.05,28155,0,315555,242385
2024-02-23 09:23:00,103.55,105.4,102.35,105.25,26160,0,341715,242385
2024-02-23 09:24:00,105.95,109.4,104.5,106.15,49995,30300,391710,272685
2024-02-23 09:25:00,107.1,110.4,104.75,106.1,43185,0,434895,272685
2024-02-23 09:26:00,105.9,105.9,102.3,105.3,32370,0,467265,272685
2024-02-23 09:27:00,105.45,111.2,104.8,109.15,24090,2730,491355,275415
2024-02-23 09:28:00,109.0,110.25,106.1,108.6,14010,0,505365,275415
2024-02-23 09:29:00,107.85,109.35,107.15,108.85,19500,0,524865,275415
2024-02-23 09:30:00,108.9,114.25,108.75,109.9,26865,8070,551730,283485
2024-02-23 09:31:00,110.25,113.1,106.2,112.15,17610,0,569340,283485
2024-02-23 09:32:00,112.0,115.0,112.0,114.2,19590,0,588930,283485
2024-02-23 09:33:00,114.4,120.9,114.4,119.6,34965,6120,623895,289605
2024-02-23 09:34:00,118.6,121.2,114.4,114.4,24315,0,648210,289605
2024-02-23 09:35:00,114.1,119.85,114.1,119.4,17550,0,665760,289605
2024-02-23 09:36:00,119.35,120.0,115.65,116.5,13590,-720,679350,288885
2024-02-23 09:37:00,116.55,116.8,106.8,109.6,26640,0,705990,288885
2024-02-23 09:38:00,110.15,110.15,94.85,95.0,47370,0,753360,288885
2024-02-23 09:39:00,95.5,98.1,91.0,93.5,45435,1485,798795,290370
2024-02-23 09:40:00,92.6,94.7,90.9,94.3,26610,0,825405,290370
2024-02-23 09:41:00,94.1,96.9,88.7,89.15,45675,0,871080,290370
2024-02-23 09:42:00,89.1,91.55,88.85,90.3,15315,25110,886395,315480
2024-02-23 09:43:00,90.45,90.5,86.15,86.15,17625,0,904020,315480
2024-02-23 09:44:00,87.0,89.3,86.0,89.1,23175,0,927195,315480
2024-02-23 09:45:00,89.2,92.4,89.2,90.5,30855,1815,958050,317295
2024-02-23 09:46:00,90.25,90.55,84.4,86.0,26085,0,984135,317295
2024-02-23 09:47:00,85.95,88.65,85.0,87.3,13425,0,997560,317295
2024-02-23 09:48:00,87.45,88.5,85.8,88.15,6015,2970,1003575,320265
2024-02-23 09:49:00,88.05,91.0,87.1,90.5,20310,0,1023885,320265
2024-02-23 09:50:00,89.75,91.2,89.1,89.75,19725,0,1043610,320265
