Time,Open,High,Low,Close,intv,intoi,v,oi
2024-02-23 09:15:00,335.25,369.9,334.55,359.65,99525,754065,99525,754065
2024-02-23 09:16:00,358.25,371.25,357.85,369.55,66180,0,165705,754065
2024-02-23 09:17:00,369.35,381.65,369.1,378.4,112755,0,278460,754065
2024-02-23 09:18:00,377.95,380.15,363.0,363.0,118215,91620,396675,845685
2024-02-23 09:19:00,363.35,364.2,348.75,355.25,145785,0,542460,845685
2024-02-23 09:20:00,356.75,360.85,335.5,339.45,138765,0,681225,845685
2024-02-23 09:21:00,339.2,340.4,330.3,336.2,82395,45585,763620,891270
2024-02-23 09:22:00,334.6,334.65,318.25,321.3,100320,0,863940,891270
2024-02-23 09:23:00,322.1,327.4,317.9,324.05,63045,0,926985,891270
2024-02-23 09:24:00,326.2,334.3,324.65,328.6,63810,40035,990795,931305
2024-02-23 09:25:00,329.85,338.25,323.65,326.25,60525,0,1051320,931305
2024-02-23 09:26:00,325.75,326.95,317.35,325.25,73335,0,1124655,931305
2024-02-23 09:27:00,324.75,343.45,324.35,336.0,96780,21855,1221435,953160
2024-02-23 09:28:00,336.25,338.95,328.05,332.5,42030,0,1263465,953160
2024-02-23 09:29:00,333.4,337.85,332.15,336.6,31155,0,1294620,953160
2024-02-23 09:30:00,335.35,352.65,335.3,339.05,104610,21735,1399230,974895
2024-02-23 09:31:00,339.2,348.75,330.0,345.45,98640,0,1497870,974895
2024-02-23 09:32:00,345.7,352.45,345.0,349.05,83460,0,1581330,974895
2024-02-23 09:33:00,351.95,365.9,350.65,361.6,153030,38745,1734360,1013640
2024-02-23 09:34:00,359.6,365.35,348.0,348.25,111855,0,1846215,1013640
2024-02-23 09:35:00,348.9,360.15,348.6,358.4,67470,0,1913685,1013640
2024-02-23 09:36:00,359.15,359.15,351.05,352.2,48195,22920,1961880,1036560
2024-02-23 09:37:00,352.5,353.2,328.45,335.8,115575,0,2077455,1036560
2024-02-23 09:38:00,337.9,338.2,300.35,300.35,144015,0,2221470,1036560
2024-02-23 09:39:00,300.85,309.3,290.1,297.4,121395,-19770,2342865,1016790
2024-02-23 09:40:00,297.6,303.55,291.4,300.0,108630,0,2451495,1016790
2024-02-23 09:41:00,299.7,305.25,282.3,284.85,91215,0,2542710,1016790
2024-02-23 09:42:00,285.3,292.7,284.9,288.0,127905,45975,2670615,1062765
2024-02-23 09:43:00,288.05,288.45,278.45,278.45,104175,0,2774790,1062765
2024-02-23 09:44:00,278.15,286.5,275.6,285.8,96135,0,2870925,1062765
2024-02-23 09:45:00,286.6,295.9,285.85,287.2,84795,42315,2955720,1105080
2024-02-23 09:46:00,286.75,288.45,270.3,275.1,98700,0,3054420,1105080
2024-02-23 09:47:00,274.25,281.25,272.15,278.9,82365,0,3136785,1105080
2024-02-23 09:48:00,279.1,281.5,273.5,280.3,41940,29610,3178725,1134690
2024-02-23 09:49:00,280.55,289.8,277.7,288.25,43665,0,3222390,1134690
2024-02-23 09:50:00,286.3,289.75,284.0,285.6,37020,0,3259410,1134690
2024-02-23 09:51:00,286.1,288.9,273.95,280.3,44880,19125,3304290,1153815
2024-02-23 09:52:00,280.2,292.5,280.2,291.65,41715,0,3346005,1153815
2024-02-23 09:53:00,292.0,298.95,287.05,295.85,66450,0,3412455,1153815
2024-02-23 09:54:00,295.25,296.65,282.2,285.1,53310,13515,3465765,1167330
2024-02-23 09:55:00,282.9,293.6,279.0,287.05,42135,0,3507900,1167330
2024-02-23 09:56:00,286.95,287.75,280.2,287.75,30885,0,3538785,1167330
2024-02-23 09:57:00,287.8,296.3,286.45,289.2,40860,8820,3579645,1176150
2024-02-23 09:58:00,289.5,294.7,285.15,285.35,31110,0,3610755,1176150
2024-02-23 09:59:00,287.25,288.25,272.5,275.65,67455,0,3678210,1176150
2024-02-23 10:00:00,277.05,282.3,264.25,268.35,86550,16785,3764760,1192935
2024-02-23 10:01:00,269.15,283.35,267.3,282.15,57120,0,3821880,1192935
2024-02-23 10:02:00,281.45,288.05,276.25,281.25,49350,0,3871230,1192935
2024-02-23 10:03:00,282.55,286.45,275.35,283.5,52410,10260,3923640,1203195
2024-02-23 10:04:00,282.5,283.6,276.5,277.3,25695,0,3949335,1203195
2024-02-23 10:05:00,277.75,286.35,275.6,279.45,42765,0,3992100,1203195
2024-02-23 10:06:00,279.85,289.55,279.5,284.0,27375,19230,4019475,1222425
2024-02-23 10:07:00,282.05,285.6,271.3,272.55,47640,0,4067115,1222425
