Time,Open,High,Low,Close,intv,intoi,v,oi
2024-02-23 09:15:00,349.75,413.55,349.75,400.75,101265,521070,101265,521070
2024-02-23 09:16:00,401.95,414.15,400.8,411.9,96825,0,198090,521070
2024-02-23 09:17:00,412.8,423.8,412.8,420.3,153165,0,351255,521070
2024-02-23 09:18:00,420.0,423.0,405.05,405.05,132885,122505,484140,643575
2024-02-23 09:19:00,405.8,405.8,390.4,397.95,165435,0,649575,643575
2024-02-23 09:20:00,396.3,402.3,375.15,379.6,162210,0,811785,643575
2024-02-23 09:21:00,380.4,381.35,370.25,376.7,129975,132855,941760,776430
2024-02-23 09:22:00,376.4,376.95,357.15,360.95,126240,0,1068000,776430
2024-02-23 09:23:00,360.8,366.6,357.25,362.8,93570,0,1161570,776430
2024-02-23 09:24:00,365.4,374.2,363.35,367.15,101865,60345,1263435,836775
2024-02-23 09:25:00,369.2,378.15,362.65,364.9,92010,0,1355445,836775
2024-02-23 09:26:00,364.45,365.1,355.1,363.5,86775,0,1442220,836775
2024-02-23 09:27:00,364.1,384.5,362.95,375.3,120435,22005,1562655,858780
2024-02-23 09:28:00,375.95,379.05,367.65,372.1,64860,0,1627515,858780
2024-02-23 09:29:00,373.05,378.0,370.95,377.4,66165,0,1693680,858780
2024-02-23 09:30:00,376.05,393.65,375.25,378.5,182415,46005,1876095,904785
2024-02-23 09:31:00,379.45,389.9,369.75,386.25,89400,0,1965495,904785
2024-02-23 09:32:00,386.35,394.6,386.0,391.05,108330,0,2073825,904785
2024-02-23 09:33:00,392.05,408.65,391.95,403.05,211455,28320,2285280,933105
2024-02-23 09:34:00,401.35,406.8,389.05,389.05,137790,0,2423070,933105
2024-02-23 09:35:00,390.9,401.0,388.9,399.75,99525,0,2522595,933105
2024-02-23 09:36:00,400.8,401.6,391.7,393.75,68805,57510,2591400,990615
2024-02-23 09:37:00,394.15,394.4,367.15,375.1,149025,0,2740425,990615
2024-02-23 09:38:00,376.3,377.9,336.7,336.7,236775,0,2977200,990615
2024-02-23 09:39:00,339.15,346.65,326.1,335.3,154230,-68130,3131430,922485
2024-02-23 09:40:00,333.95,341.05,327.65,337.35,92130,0,3223560,922485
2024-02-23 09:41:00,336.65,343.4,317.95,319.65,110745,0,3334305,922485
2024-02-23 09:42:00,319.75,329.95,319.75,325.0,79200,1245,3413505,923730
2024-02-23 09:43:00,324.95,324.95,314.0,314.05,75840,0,3489345,923730
2024-02-23 09:44:00,313.4,324.5,312.4,322.4,79980,0,3569325,923730
2024-02-23 09:45:00,323.1,332.9,322.05,322.65,100110,13155,3669435,936885
2024-02-23 09:46:00,323.75,324.1,304.95,309.35,98310,0,3767745,936885
2024-02-23 09:47:00,310.05,317.15,307.0,315.0,43725,0,3811470,936885
2024-02-23 09:48:00,314.95,316.95,308.15,316.5,34020,9870,3845490,946755
2024-02-23 09:49:00,316.35,326.15,312.0,324.25,61095,0,3906585,946755
2024-02-23 09:50:00,323.55,326.45,320.0,322.45,39645,0,3946230,946755
2024-02-23 09:51:00,322.4,325.5,307.9,316.1,61545,18675,4007775,965430
2024-02-23 09:52:00,316.65,329.15,316.25,328.7,69315,0,4077090,965430
2024-02-23 09:53:00,327.85,336.55,323.6,332.75,84645,0,4161735,965430
2024-02-23 09:54:00,332.05,336.0,317.6,320.55,54990,12720,4216725,978150
2024-02-23 09:55:00,318.75,330.75,314.45,324.1,49200,0,4265925,978150
2024-02-23 09:56:00,324.2,324.2,315.75,323.1,31650,0,4297575,978150
2024-02-23 09:57:00,323.25,333.7,321.65,325.65,49815,1410,4347390,979560
2024-02-23 09:58:00,326.4,331.3,321.1,321.1,36405,0,4383795,979560
2024-02-23 09:59:00,323.9,323.95,308.0,310.15,61875,0,4445670,979560
2024-02-23 10:00:00,312.0,317.35,297.3,302.0,106035,-7650,4551705,971910
2024-02-23 10:01:00,303.35,318.95,301.45,317.25,77340,0,4629045,971910
2024-02-23 10:02:00,316.5,323.7,311.35,317.25,59760,0,4688805,971910
2024-02-23 10:03:00,317.65,322.3,309.65,318.4,43530,18645,4732335,990555
2024-02-23 10:04:00,318.8,318.95,311.4,311.7,19920,0,4752255,990555
2024-02-23 10:05:00,312.2,322.0,310.25,314.85,40485,0,4792740,990555
2024-02-23 10:06:00,315.3,325.35,314.1,319.5,33300,7185,4826040,997740
2024-02-23 10:07:00,317.8,321.0,306.0,307.3,43815,0,4869855,997740
2024-02-23 10:08:00,307.7,317.0,304.0,311.55,48225,0,4918080,997740
2024-02-23 10:09:00,312.05,312.15,298.85,309.75,51795,3780,4969875,1001520
2024-02-23 10:10:00,308.65,310.25,302.0,307.45,27420,0,4997295,1001520
2024-02-23 10:11:00,307.2,310.5,295.25,303.8,54645,0,5051940,1001520
2024-02-23 10:12:00,304.65,307.9,300.45,307.15,21660,2415,5073600,1003935
2024-02-23 10:13:00,305.2,308.25,280.2,288.45,129480,0,5203080,1003935
2024-02-23 10:14:00,287.55,291.4,275.3,276.3,97725,0,5300805,1003935
2024-02-23 10:15:00,276.9,278.3,257.2,262.2,179640,-18270,5480445,985665
2024-02-23 10:16:00,261.8,266.4,258.55,261.0,73035,0,5553480,985665
2024-02-23 10:17:00,262.25,262.4,253.05,255.95,54510,0,5607990,985665
2024-02-23 10:18:00,253.5,257.0,247.0,255.25,77085,-420,5685075,985245
2024-02-23 10:19:00,254.7,256.8,251.35,256.8,43185,0,5728260,985245
2024-02-23 10:20:00,255.95,256.35,246.2,251.1,38790,0,5767050,985245
2024-02-23 10:21:00,251.55,268.25,251.55,263.3,69510,6105,5836560,991350
2024-02-23 10:22:00,263.8,264.9,256.95,264.65,42765,0,5879325,991350
2024-02-23 10:23:00,264.75,278.6,263.55,274.3,73530,0,5952855,991350
2024-02-23 10:24:00,275.8,301.1,275.1,297.6,153765,0,6106620,991350
2024-02-23 10:25:00,297.95,299.4,289.95,296.25,112965,17025,6219585,1008375
2024-02-23 10:26:00,294.5,306.4,290.1,305.8,117645,0,6337230,1008375
2024-02-23 10:27:00,306.45,334.35,306.45,332.2,272985,0,6610215,1008375
2024-02-23 10:28:00,328.3,348.6,319.0,346.15,243390,1575,6853605,1009950
2024-02-23 10:29:00,347.2,359.8,332.0,352.55,258300,0,7111905,1009950
2024-02-23 10:30:00,352.6,366.4,342.05,344.2,274785,0,7386690,1009950
2024-02-23 10:31:00,348.85,404.45,348.85,400.1,499320,19530,7886010,1029480
